Timestamp,Participant,Consent,Version,Target_H1_4,Filler_L_L,Target_F1_4,Filler_A_A,Filler_L_B,Target_F1_5,Filler_B_B,Target_H4_5,Target_F4_5,Filler_A_L,Target_H1_5,Filler_B_A
11/19/2019 11:22:45,5dacc1cd589baa0010c5ee49,I agree,2,5,1,2,5,2,6,3,1,2,6,6,2
11/19/2019 11:23:30,5588dec4fdf99b304ee569a8,I agree,2,6,1,4,5,1,4,2,2,5,7,6,6
11/19/2019 11:23:36,5ce7fd4b4a66db00017ba0f9,I agree,2,3,2,6,6,2,3,2,4,4,6,5,3
11/19/2019 11:23:45,5b815e0d16aa4400016a8c90,I agree,2,4,5,4,4,1,4,1,6,4,2,4,3
11/19/2019 11:23:55,5bad4bb9a388c30001821fdc,I agree,2,4,5,2,6,7,4,3,1,5,6,6,5
11/19/2019 11:24:02,5d010ccecfeb82000117c42a,I agree,2,2,6,1,2,2,7,2,5,1,1,6,6
11/19/2019 11:24:02,5d715779929cf40018e8abaf,I agree,2,3,6,3,2,1,4,4,5,4,2,5,6
11/19/2019 11:24:06,5dcd895e09a884000b47da84,I agree,2,6,3,4,3,3,5,6,2,6,5,1,6
11/19/2019 11:24:24,5c5ca0616ad0f00001cc0910,I agree,2,2,3,2,2,3,2,2,6,5,5,2,2
11/19/2019 11:25:37,558afa29fdf99b7dfdbac1c6,I agree,2,3,3,3,1,1,6,1,3,4,5,4,7
11/19/2019 11:29:45,575447b2cf4430000752a898,I agree,2,3,2,4,4,2,4,4,4,4,6,4,4
11/19/2019 11:38:47,5bf2ac5f2dd2f900016fd4b3,I agree,2,7,7,4,6,1,4,4,1,3,6,7,7
